curr_state	curr_action	next_reward	next_state	old_value	new_value
536	0	0	664	0.0	0.0
664	0	0	792	0.0	0.0
792	0	0	920	0.0	0.0
920	1	0	1049	0.0	0.0
1049	0	0	1185	0.0	0.0
1185	1	0	1322	0.0	0.0
1322	1	0	1331	0.0	0.0
1331	0	0	1211	0.0	0.0
1211	1	0	1092	0.0	0.0
1092	1	0	965	0.0	0.0
965	-1	0	828	0.0	0.0
828	1	0	701	0.0	0.0
701	-1	0	564	0.0	0.0
564	-1	0	435	0.0	0.0
435	0	0	315	0.0	0.0
315	0	0	195	0.0	0.0
195	0	0	75	0.0	0.0
75	-1	0	82	0.0	0.0
82	1	0	91	0.0	0.0
91	0	0	99	0.0	0.0
99	1	0	108	0.0	0.0
108	1	0	109	0.0	0.0
109	0	0	101	0.0	0.0
101	0	0	93	0.0	0.0
93	0	0	85	0.0	0.0
85	-1	0	76	0.0	0.0
76	0	0	76	0.0	0.0
76	-1	0	75	0.0	0.0
75	-1	0	82	0.0	0.0
82	-1	0	89	0.0	0.0
89	1	0	226	0.0	0.0
226	0	0	234	0.0	0.0
234	0	0	242	0.0	0.0
242	0	0	250	0.0	0.0
250	-1	0	249	0.0	0.0
249	0	0	377	0.0	0.0
377	0	0	505	0.0	0.0
505	1	0	634	0.0	0.0
634	1	0	635	0.0	0.0
635	0	0	507	0.0	0.0
507	0	0	379	0.0	0.0
379	0	0	251	0.0	0.0
251	1	0	124	0.0	0.0
124	-1	0	123	0.0	0.0
123	1	0	124	0.0	0.0
124	0	0	124	0.0	0.0
124	1	0	125	0.0	0.0
125	0	0	117	0.0	0.0
117	0	0	109	0.0	0.0
109	-1	0	100	0.0	0.0
100	-1	0	99	0.0	0.0
99	1	0	108	0.0	0.0
108	-1	0	107	0.0	0.0
107	0	0	115	0.0	0.0
115	0	0	123	0.0	0.0
123	-1	0	122	0.0	0.0
122	0	0	122	0.0	0.0
122	1	0	123	0.0	0.0
123	1	0	124	0.0	0.0
124	0	0	124	0.0	0.0
124	-1	0	123	0.0	0.0
123	-1	0	122	0.0	0.0
122	0	0	122	0.0	0.0
122	-1	0	121	0.0	0.0
121	1	0	250	0.0	0.0
250	-1	0	249	0.0	0.0
249	-1	0	376	0.0	0.0
376	-1	0	511	0.0	0.0
511	1	0	624	0.0	0.0
624	0	0	752	0.0	0.0
752	0	0	880	0.0	0.0
880	0	0	1008	0.0	0.0
1008	0	0	1136	0.0	0.0
1136	1	0	1265	0.0	0.0
1265	1	0	1402	0.0	0.0
1402	1	0	1403	0.0	0.0
1403	1	0	1276	0.0	0.0
1276	0	0	1148	0.0	0.0
1148	1	0	1021	0.0	0.0
1021	-1	0	884	0.0	0.0
884	-1	0	755	0.0	0.0
755	-1	0	634	0.0	0.0
634	0	0	634	0.0	0.0
634	1	0	635	0.0	0.0
635	-1	0	506	0.0	0.0
506	1	0	507	0.0	0.0
507	-1	0	378	0.0	0.0
378	1	0	379	0.0	0.0
379	1	0	252	0.0	0.0
252	1	0	125	0.0	0.0
125	0	0	117	0.0	0.0
117	-1	0	108	0.0	0.0
108	1	0	109	0.0	0.0
109	-1	0	100	0.0	0.0
100	-1	0	99	0.0	0.0
99	-1	0	106	0.0	0.0
106	1	0	115	0.0	0.0
115	-1	0	122	0.0	0.0
122	0	0	122	0.0	0.0
122	1	0	123	0.0	0.0
123	1	0	124	0.0	0.0
124	-1	0	123	0.0	0.0
123	1	0	124	0.0	0.0
124	-1	0	123	0.0	0.0
123	1	0	124	0.0	0.0
124	-1	0	123	0.0	0.0
123	0	0	123	0.0	0.0
123	1	0	124	0.0	0.0
124	1	0	125	0.0	0.0
125	0	0	117	0.0	0.0
117	1	0	110	0.0	0.0
110	1	0	103	0.0	0.0
103	-1	0	222	0.0	0.0
222	-1	0	213	0.0	0.0
213	-1	0	76	0.0	0.0
76	-1	0	75	0.0	0.0
75	1	0	84	0.0	0.0
84	1	0	85	0.0	0.0
85	1	0	78	0.0	0.0
78	0	0	70	0.0	0.0
70	1	0	63	0.0	0.0
63	1	0	176	0.0	0.0
176	1	0	305	0.0	0.0
305	0	0	441	0.0	0.0
441	1	0	578	0.0	0.0
578	-1	0	585	0.0	0.0
585	1	0	722	0.0	0.0
722	-1	0	729	0.0	0.0
729	0	0	865	0.0	0.0
865	-1	0	1000	0.0	0.0
1000	-1	0	1135	0.0	0.0
1135	1	0	1248	0.0	0.0
1248	1	0	1377	0.0	0.0
1377	-1	0	1512	0.0	0.0
1512	-1	0	1647	0.0	0.0
1647	0	0	1767	0.0	0.0
1767	1	0	1880	0.0	0.0
1880	-1	0	2015	0.0	0.0
2015	0	0	2007	0.0	0.0
2007	1	0	1992	0.0	0.0
1992	0	0	1992	0.0	0.0
1992	0	0	1992	0.0	0.0
1992	-1	0	1999	0.0	0.0
1999	0	0	1991	0.0	0.0
1991	-1	0	1982	0.0	0.0
1982	1	0	1975	0.0	0.0
1975	-1	0	1966	0.0	0.0
1966	0	0	1958	0.0	0.0
1958	0	0	1950	0.0	0.0
1950	-1	0	1941	0.0	0.0
1941	1	0	1806	0.0	0.0
1806	0	0	1798	0.0	0.0
1798	0	0	1798	0.0	0.0
1798	-1	0	1797	0.0	0.0
1797	-1	0	1668	0.0	0.0
1668	1	0	1541	0.0	0.0
1541	1	0	1414	0.0	0.0
1414	0	0	1414	0.0	0.0
1414	1	0	1415	0.0	0.0
1415	0	0	1543	0.0	0.0
1543	-1	0	1670	0.0	0.0
1670	1	0	1671	0.0	0.0
1671	1	0	1792	0.0	0.0
1792	0	0	1920	0.0	0.0
1920	1	0	1921	0.0	0.0
1921	-1	0	1928	0.0	0.0
1928	-1	0	1935	0.0	0.0
1935	1	0	1920	0.0	0.0
1920	1	0	1921	0.0	0.0
1921	1	0	1930	0.0	0.0
1930	-1	0	1937	0.0	0.0
1937	0	0	1945	0.0	0.0
1945	0	0	1953	0.0	0.0
1953	0	0	1961	0.0	0.0
1961	1	0	1970	0.0	0.0
1970	0	0	1978	0.0	0.0
1978	1	0	1987	0.0	0.0
1987	-1	0	1866	0.0	0.0
1866	0	0	1874	0.0	0.0
1874	0	0	1882	0.0	0.0
1882	1	0	1891	0.0	0.0
1891	-1	0	1770	0.0	0.0
1770	0	0	1778	0.0	0.0
1778	1	0	1787	0.0	0.0
1787	1	0	1660	0.0	0.0
1660	-1	0	1531	0.0	0.0
1531	1	0	1404	0.0	0.0
1404	1	0	1277	0.0	0.0
1277	0	0	1141	0.0	0.0
1141	1	0	1006	0.0	0.5904900000000002
1006	0	0	998	0.0	0.0
998	1	0	991	0.0	0.0
991	-1	0	1110	0.0	0.0
1110	-1	0	1101	0.0	0.0
1101	-1	0	964	0.0	0.0
964	0	0	836	0.0	0.0
836	-1	0	707	0.0	0.0
707	1	0	588	0.0	0.0
588	-1	0	459	0.0	0.0
459	1	0	340	0.0	0.0
340	1	0	213	0.0	0.0
213	0	0	77	0.0	0.0
77	-1	0	68	0.0	0.0
68	0	0	68	0.0	0.0
68	1	0	69	0.0	0.0
69	-1	0	60	0.0	0.0
60	1	0	61	0.0	0.0
61	-1	0	52	0.0	0.0
52	0	0	52	0.0	0.0
52	-1	0	51	0.0	0.0
51	0	0	59	0.0	0.0
59	1	0	68	0.0	0.0
68	1	0	69	0.0	0.0
69	0	0	61	0.0	0.0
61	1	0	54	0.0	0.0
54	-1	0	45	0.0	0.0
45	1	0	38	0.0	0.0
38	1	0	31	0.0	0.0
31	0	0	151	0.0	0.0
151	1	0	264	0.0	0.0
264	0	0	392	0.0	0.0
392	1	0	521	0.0	0.0
521	1	0	658	0.0	0.0
658	1	0	667	0.0	0.0
667	1	0	548	0.0	0.0
548	0	0	420	0.0	0.0
420	-1	0	291	0.0	0.0
291	0	0	171	0.0	0.0
171	0	0	51	0.0	0.0
51	1	0	60	0.0	0.0
60	-1	0	59	0.0	0.0
59	-1	0	66	0.0	0.0
66	0	0	74	0.0	0.0
74	0	0	82	0.0	0.0
82	0	0	90	0.0	0.0
90	0	0	98	0.0	0.0
98	0	0	106	0.0	0.0
106	0	0	114	0.0	0.0
114	0	0	122	0.0	0.0
122	1	0	123	0.0	0.0
123	-1	0	122	0.0	0.0
122	-1	0	121	0.0	0.0
121	0	0	249	0.0	0.0
249	0	0	377	0.0	0.0
377	0	0	505	0.0	0.0
505	1	0	634	0.0	0.0
634	-1	0	633	0.0	0.0
633	1	0	762	0.0	0.0
762	0	0	762	0.0	0.0
762	-1	0	761	0.0	0.0
761	-1	0	888	0.0	0.0
888	1	0	1017	0.0	0.0
1017	0	0	1145	0.0	0.0
1145	-1	0	1272	0.0	0.0
1272	-1	0	1407	0.0	0.0
1407	1	0	1520	0.0	0.0
1520	0	0	1648	0.0	0.0
1648	-1	0	1783	0.0	0.0
1783	-1	0	1902	0.0	0.0
1902	1	0	1895	0.0	0.0
1895	-1	0	2014	0.0	0.0
2014	-1	0	2005	0.0	0.0
2005	-1	0	1868	0.0	0.0
1868	-1	0	1739	0.0	0.0
1739	-1	0	1618	0.0	0.0
1618	-1	0	1625	0.0	0.0
1625	-1	0	1760	0.0	0.0
1760	0	0	1888	0.0	0.0
1888	-1	0	2023	0.0	0.0
2023	1	0	2008	0.0	0.0
2008	0	0	2008	0.0	0.0
2008	1	0	2009	0.0	0.0
2009	0	0	2017	0.0	0.0
2017	0	0	2025	0.0	0.0
2025	1	0	2034	0.0	0.0
2034	-1	0	2041	0.0	0.0
2041	0	0	2041	0.0	0.0
2041	1	0	2042	0.0	0.0
2042	1	0	2043	0.0	0.0
2043	-1	0	1914	0.0	0.0
1914	1	0	1915	0.0	0.0
1915	0	0	1787	0.0	0.0
1787	0	0	1659	0.0	0.0
1659	-1	0	1530	0.0	0.0
1530	1	0	1531	0.0	0.0
1531	1	0	1404	0.0	0.0
1404	0	0	1276	0.0	0.0
1276	-1	0	1147	0.0	0.0
1147	-1	0	1018	0.0	0.0
1018	1	0	1019	0.0	0.0
1019	-1	0	890	0.0	0.0
890	-1	0	889	0.0	0.0
889	0	0	1017	0.0	0.0
1017	0	0	1145	0.0	0.0
1145	-1	0	1272	0.0	0.0
1272	0	0	1400	0.0	0.0
1400	1	0	1529	0.0	0.0
1529	1	0	1658	0.0	0.0
1658	-1	0	1657	0.0	0.0
1657	0	0	1785	0.0	0.0
1785	0	0	1913	0.0	0.0
1913	0	0	2041	0.0	0.0
2041	-1	0	2040	0.0	0.0
2040	0	0	2040	0.0	0.0
2040	-1	0	2047	0.0	0.0
2047	1	0	2032	0.0	0.0
2032	0	0	2032	0.0	0.0
2032	-1	0	2039	0.0	0.0
2039	-1	0	2030	0.0	0.0
2030	-1	0	2021	0.0	0.0
2021	-1	0	1884	0.0	0.0
1884	-1	0	1755	0.0	0.43046721000000016
1755	-1	0	1634	0.0	0.0
1634	1	0	1643	0.0	0.0
1643	-1	0	1522	0.0	0.0
1522	1	0	1531	0.0	0.0
1531	1	0	1404	0.0	0.0
1404	1	0	1277	0.0	0.0
1277	0	0	1141	0.0	0.5314410000000002
1141	-1	0	1004	0.0	0.0
1004	0	0	876	0.0	0.0
876	1	0	749	0.0	0.0
749	1	0	614	0.0	0.0
614	1	0	607	0.0	0.0
607	0	0	727	0.0	0.0
727	0	0	847	0.0	0.81
847	0	0	967	0.0	0.0
967	1	0	1080	0.0	0.0
1080	1	0	1209	0.0	0.0
1209	1	0	1346	0.0	0.0
1346	0	0	1354	0.0	0.0
1354	-1	0	1361	0.0	0.0
1361	1	0	1498	0.0	0.0
1498	-1	0	1505	0.0	0.0
1505	1	0	1642	0.0	0.0
1642	1	0	1651	0.0	0.0
1651	-1	0	1530	0.0	0.0
1530	-1	0	1529	0.0	0.0
1529	-1	0	1656	0.0	0.0
1656	-1	0	1791	0.0	0.0
1791	0	0	1911	0.0	0.0
1911	0	0	2031	0.0	0.0
2031	0	0	2023	0.0	0.0
2023	-1	0	2014	0.0	0.0
2014	0	0	2006	0.0	0.0
2006	-1	0	1997	0.0	0.0
1997	1	0	1862	0.0	0.0
1862	-1	0	1853	0.0	0.0
1853	0	0	1717	0.0	0.0
1717	0	0	1581	0.0	0.0
1581	0	0	1445	0.0	0.0
1445	0	0	1309	0.0	0.0
1309	1	0	1174	0.0	0.0
1174	0	0	1166	0.0	0.0
1166	1	0	1159	0.0	0.0
1159	0	0	1287	0.0	0.0
1287	-1	0	1414	0.0	0.0
1414	1	0	1415	0.0	0.0
1415	1	0	1536	0.0	0.0
1536	-1	0	1671	0.0	0.0
1671	1	0	1792	0.0	0.0
1792	0	0	1920	0.0	0.0
1920	-1	0	1927	0.0	0.0
1927	1	0	1920	0.0	0.0
1920	1	0	1921	0.0	0.0
1921	0	0	1929	0.0	0.0
1929	0	0	1937	0.0	0.0
1937	-1	0	1944	0.0	0.0
1944	0	0	1944	0.0	0.0
1944	-1	0	1951	0.0	0.0
1951	0	0	1943	0.0	0.0
1943	-1	0	1934	0.0	0.0
1934	1	0	1927	0.0	0.0
