threshold	false_positive_rate	true_positive_rate
0.01	0	1.0
0.02	0	1.0
0.03	0	1.0
0.04	0	1.0
0.05	0	1.0
0.06	0	1.0
0.07	0	1.0
0.08	0	1.0
0.09	0	1.0
0.1	0	1.0
0.11	0	1.0
0.12	0	1.0
0.13	0	1.0
0.14	0	1.0
0.15	0	1.0
0.16	0	1.0
0.17	0	1.0
0.18	0	1.0
0.19	0	1.0
0.2	0	1.0
0.21	0	1.0
0.22	0	1.0
0.23	0	1.0
0.24	0	1.0
0.25	0	1.0
0.26	0	1.0
0.27	0	1.0
0.28	0	1.0
0.29	0	1.0
0.3	0	1.0
0.31	0	1.0
0.32	0	1.0
0.33	0	1.0
0.34	0	1.0
0.35	0	1.0
0.36	0	1.0
0.37	0	1.0
0.38	0	0.9980582524271845
0.39	0	0.9980582524271845
0.4	0	0.9980582524271845
0.41	0	0.9980582524271845
0.42	0	0.996116504854369
0.43	0	0.996116504854369
0.44	0	0.996116504854369
0.45	0	0.996116504854369
0.46	0	0.996116504854369
0.47	0	0.996116504854369
0.48	0	0.996116504854369
0.49	0	0.996116504854369
0.5	0	0.996116504854369
0.51	0	0.996116504854369
0.52	0	0.996116504854369
0.53	0	0.996116504854369
0.54	0	0.996116504854369
0.55	0	0.996116504854369
0.56	0	0.996116504854369
0.57	0	0.996116504854369
0.58	0	0.996116504854369
0.59	0	0.996116504854369
0.6	0	0.996116504854369
0.61	0	0.996116504854369
0.62	0	0.996116504854369
0.63	0	0.996116504854369
0.64	0	0.996116504854369
0.65	0	0.9941747572815534
0.66	0	0.9922330097087378
0.67	0	0.9922330097087378
0.68	0	0.9922330097087378
0.69	0	0.9922330097087378
0.7	0	0.9922330097087378
0.71	0	0.9922330097087378
0.72	0	0.9922330097087378
0.73	0	0.9922330097087378
0.74	0	0.9922330097087378
0.75	0	0.9922330097087378
0.76	0	0.9922330097087378
0.77	0	0.9922330097087378
0.78	0	0.9922330097087378
0.79	0	0.9922330097087378
0.8	0	0.9922330097087378
0.81	0	0.9902912621359223
0.82	0	0.9902912621359223
0.83	0	0.9902912621359223
0.84	0	0.9902912621359223
0.85	0	0.9883495145631068
0.86	0	0.9883495145631068
0.87	0	0.9864077669902913
0.88	0	0.9864077669902913
0.89	0	0.9844660194174757
0.9	0	0.9844660194174757
0.91	0	0.9825242718446602
0.92	0	0.9825242718446602
0.93	0	0.9805825242718447
0.94	0	0.9766990291262136
0.95	0	0.9669902912621359
0.96	0	0.9611650485436893
0.97	0	0.945631067961165
0.98	0	0.9339805825242719
0.99	0	0.9242718446601942
