state	expected_discomfort
exposed-1	3.413333333331157
exposed-2	4.266666666664724
exposed-3	5.333333333331599
recovered	0.0
symptoms-1	6.666666666665119
symptoms-2	4.999999999999929
symptoms-3	1.6666666666666647
