index	return	risk	AAPL	LULU	SPY	TSLA	TTWO	XOM
0	0.011439956708414849	0.02181742102395667	0.11119806090738353	0.10108861284301222	0.32386583105198974	0.0033234918361150865	0.08983966639435316	0.37068433696714626
1	0.011826716307731406	0.02183023174464118	0.10911816766074486	0.09536792785917983	0.32753892269714935	0.0073067130105509345	0.09164152714295153	0.3690267416294235
2	0.012213475907047962	0.021868618879325667	0.10703827441410627	0.08964724287534745	0.3312120143423089	0.011289934184986783	0.09344338789154988	0.36736914629170075
3	0.01260023550636452	0.021932448133529573	0.10495838116746763	0.08392655789151507	0.33488510598746835	0.015273155359422665	0.09524524864014824	0.36571155095397806
4	0.012986995105681076	0.022021498276616806	0.10287848792082904	0.07820587290768263	0.33855819763262784	0.01925637653385855	0.0970471093887466	0.3640539556162553
5	0.013373754704997635	0.022135464922617178	0.10079859467419033	0.07248518792385027	0.34223128927778723	0.023239597708294455	0.09884897013734499	0.36239636027853267
6	0.01376051430431419	0.022273965612573353	0.09871870142755176	0.06676450294001794	0.34590438092294673	0.02722281888273027	0.10065083088594333	0.3607387649408099
7	0.014147273903630748	0.02243654600548159	0.09663880818091314	0.06104381795618549	0.3495774725681064	0.03120604005716615	0.1024526916345417	0.3590811696030871
8	0.014534033502947305	0.022622686953109473	0.0945589149342745	0.055323132972353084	0.3532505642132659	0.035189261231602036	0.10425455238314005	0.3574235742653644
9	0.014920793102263862	0.02283181221622571	0.09247902168763582	0.04960244798852076	0.35692365585842556	0.03917248240603785	0.10605641313173839	0.35576597892764167
10	0.015307552701580419	0.023063296575986356	0.09039912844099722	0.04388176300468836	0.3605967475035849	0.04315570358047376	0.10785827388033678	0.35410838358991903
11	0.015694312300896976	0.023316474103155495	0.0883192351943586	0.038161078020855964	0.36426983914874433	0.04713892475490964	0.10966013462893515	0.3524507882521963
12	0.01608107190021353	0.023590646367377135	0.08623934194771994	0.0324403930370236	0.36794293079390383	0.0511221459293455	0.11146199537753348	0.35079319291447353
13	0.01646783149953009	0.0238850903961964	0.08415944870108137	0.026719708053191234	0.3716160224390633	0.05510536710378136	0.11326385612613185	0.3491355975767509
14	0.016854591098846648	0.024199066226088344	0.0820795554544427	0.020999023069358805	0.3752891140842229	0.05908858827821724	0.11506571687473019	0.3474780022390281
15	0.017241350698163203	0.024531823922632656	0.07999966220780408	0.015278338085526491	0.37896220572938255	0.06307180945265303	0.11686757762332854	0.34582040690130533
16	0.017628110297479762	0.02488260998174831	0.07791976896116547	0.009557653101694062	0.38263529737454177	0.06705503062708897	0.11866943837192694	0.3441628115635827
17	0.018014869896796317	0.0252506730566307	0.07583987571452684	0.0038369681178616983	0.3863083890197014	0.07103825180152482	0.12047129912052527	0.34250521622585994
18	0.018401629496112876	0.025639313199186383	0.07354035305045041	-1.661064872088686e-19	0.38251059637152707	0.07734900481443956	0.12432467982549497	0.34227536593808794
19	0.01878838909542943	0.026100483207336284	0.07079346428393278	-1.3874168791825213e-19	0.36349525942903654	0.08840073860790176	0.1323568290109944	0.3449537086681344
20	0.01917514869474599	0.02664656411846489	0.06804657551741512	-1.1139762883909082e-19	0.34447992248654624	0.09945247240136397	0.14038897819649385	0.34763205139818093
21	0.019561908294062548	0.02727245585412185	0.0652996867508974	-8.408227953329368e-20	0.3254645855440557	0.11050420619482626	0.14842112738199337	0.3503103941282273
22	0.019948667893379103	0.02797280162306122	0.0625527979843798	-5.668905739740066e-20	0.30644924860156514	0.1215559399882885	0.15645327656749278	0.3529887368582737
23	0.020335427492695658	0.028742159388323536	0.059805909217862115	-2.933378742014744e-20	0.2874339116590749	0.13260767378175067	0.16448542575299224	0.3556670795883201
24	0.020722187092012217	0.029575143876184276	0.05705902045134437	-1.966914623991254e-21	0.2684185747165843	0.14365940757521292	0.1725175749384917	0.35834542231836664
25	0.021108946691328775	0.030466536685727068	0.05431213168482679	2.5343580270090473e-20	0.24940323777409365	0.15471114136867523	0.1805497241239912	0.36102376504841305
26	0.02149570629064533	0.03141136567042339	0.05156524291830907	5.271222647585533e-20	0.2303879008316033	0.16576287516213742	0.1885818733094907	0.36370210777845957
27	0.02188246588996189	0.03240495706326271	0.04881835415179147	8.00560197088053e-20	0.21137256388911305	0.1768146089555996	0.19661402249499013	0.3663804505085058
28	0.022269225489278448	0.03344296494922803	0.04607146538527372	1.0740252388588491e-19	0.19235722694662205	0.18786634274906205	0.20464617168048976	0.36905879323855234
29	0.022655985088595003	0.034521382942333506	0.04332457661875614	1.347541961080858e-19	0.1733418900041317	0.19891807654252414	0.21267832086598912	0.37173713596859886
30	0.023042744687911558	0.03563654261063666	0.04057768785223844	1.620810355991989e-19	0.15432655306164164	0.20996981033598633	0.22071047005148847	0.3744154786986452
31	0.023429504287228117	0.03678510257646101	0.03783079908572086	1.8945357073689006e-19	0.13531121611915084	0.22102154412944866	0.22874261923698797	0.37709382142869163
32	0.023816263886544675	0.03796403149316916	0.035083910319203174	2.1678444764912817e-19	0.11629587917666007	0.2320732779229109	0.2367747684224875	0.3797721641587383
33	0.02420302348586123	0.039170587386462175	0.032337021552685474	2.4412646558895698e-19	0.09728054223416986	0.24312501171637313	0.24480691760798684	0.3824505068887846
34	0.024589783085177785	0.04040229521350421	0.02959013278616762	2.715133184690996e-19	0.07826520529167968	0.2541767455098353	0.2528390667934864	0.3851288496188309
35	0.024976542684494344	0.041656923964334784	0.026843244019650207	2.9885745093791376e-19	0.059249868349188925	0.26522847930329757	0.2608712159789859	0.38780719234887756
